# dgm_w inland low-water reference gauges — ZS_I in NHN. Generated by harvest_gauges.py
# from PEGELONLINE (https://www.pegelonline.wsv.de/webservices/rest-api/v2/); regenerate when
# the WSV republishes ZS_I. datum_nhn_m = gaugeZero + ZS_I/100 (gaugeZero unit 'm. ü. NHN').
# Attribution: © Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV) / BfG.
gauge,lon,lat,km,datum_nhn_m
RAUNHEIM,8.448287,50.016157,12.213,83.899
FRANKFURT OSTHAFEN,8.714995,50.105737,37.591,91.996
KROTZENBURG,8.953596,50.079717,63.23,98.953
MAINFLINGEN,9.033733,50.015365,76.43,101.685
OBERNAU,9.129075,49.9338,92.385,108.49
KLEINHEUBACH,9.225244,49.716138,121.7,120.49
